Product Name,Product Desc,PI File,C1 Desc,C1 MSDS,C2 Desc,C2 MSDS,C3 Desc,C3 MSDS,C4 Desc,C4 MSDS,Manufacturer,Finish Type,Category
,,,,,,,,,,,,,
Federal Standard 595 Type I Colors Available,,,,,,,,,,,,,
Gloss Clear,646-58-9000,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 10032,646-58-0032,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 10080,646-58-0080,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 10219,646-58-0219,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
Snowbird Red,,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11086,646-58-1086,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11105,646-58-1105,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11120,646-58-1120,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11136,646-58-1136,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11140,646-58-1140,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11302,646-58-1302,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11310,646-58-1310,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11328,646-58-1328,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 11350,646-58-1350,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
Red BS 1538,,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 12197,646-58-2197,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 12199,646-58-2199,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 12215,646-58-2215,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 12246,646-58-2246,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 12250,646-58-2250,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 12300,646-58-2300,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 13432,646-58-3432,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 13507,646-58-3507,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 13538,646-58-3538,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 13591,646-58-3591,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
Light Stone,,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 13637,646-58-3637,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 13655,646-58-3655,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
Gold Base,,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 13670,646-58-3670,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14052,646-58-4052,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14056,646-58-4056,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14062,646-58-4062,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14079,646-58-4079,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14081,646-58-4081,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14090,646-58-4090,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14092,646-58-4092,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14094,646-58-4094,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14097,646-58-4097,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14102,646-58-4102,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14110,646-58-4110,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14151,646-58-4151,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14187,646-58-4187,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14193,646-58-4193,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14257,646-58-4257,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 14260,646-58-4260,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
Air Force Blue,,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 15042,646-58-5042,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 15044,646-58-5044,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 15045,646-58-5045,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 15048,646-58-5048,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
FS 15050,646-58-5050,docs\AKZO\PI\58 Series.pdf,,,,,,,,,AkzoNobel,Gloss,"Mil-PRF-85285E, Type I"
